month,mean,median,std,min,max
26-02-2,38.80092267688541,38.793380735,7.341465616267925,13.51107597,77.83692932
26-03-2,34.25507308009028,34.00414276,5.768158431937119,15.14935017,51.90421295
26-04-2,31.96792122161111,31.78790665,6.018996768911372,13.51083279,62.01356125
26-05-2,31.901990581604164,31.61080551,6.001726625950986,13.51083279,62.51619339
26-06-2,53.45164439445139,51.71271324,13.105469666460166,13.51189899,117.9394455
26-07-2,46.175042825944445,41.374593735,15.612914486351267,13.51320744,131.4934082
26-08-2,60.1855783734132,59.106286999999995,14.236809292801514,27.588377,102.0105896
26-09-2,48.87004437017708,48.74802971,11.061275895076376,13.51329803,94.96466827
26-10-2,28.444990906072917,28.362226485,3.866843391163388,13.51143742,39.22730255
27-01-2,40.65517377629167,40.9834671,7.141042657570001,15.65678883,72.41215515
27-02-2,42.440046009118056,43.37425041,8.322898848324325,19.11335373,93.03047943
27-03-2,30.653992942690973,30.825862885,3.85673648752799,15.98519039,43.18011856
27-04-2,42.09362710244792,42.299495695,9.1976358658027,20.1898098,65.57091522
27-05-2,36.634579817454856,36.091287615,6.354534037562357,16.42168808,58.46186829
27-06-2,34.477388805819444,33.111089705,9.895956573442424,13.5111351,86.44322968
27-07-2,56.274007925319445,53.070129395,16.429759065896654,13.51083279,201.0361176
27-08-2,60.96959732575,60.739986419999994,12.497576981167533,23.36667061,107.9015198
27-09-2,33.366735452729166,33.443393709999995,7.929787825305602,13.51083279,70.81340027
27-10-2,32.11537069293403,31.563625334999998,6.025968741417628,19.92180252,51.4944725
28-01-2,35.71132245462152,35.34342384,5.43559291271502,19.57239723,60.50492096
28-02-2,31.816925869364585,30.750577925,5.741135983770654,15.88252163,65.02203369
28-03-2,32.78988197650347,33.013202665,4.557521331788922,16.76128769,50.58930206
28-04-2,47.42311439705903,48.789014815,9.419984277204604,17.90685081,87.65011597
28-05-2,41.02400356663542,41.14429092,6.334467714426388,18.33170891,68.48010254
28-06-2,36.13804139694097,34.597120285,8.325380866397301,13.51083279,73.75933838
28-07-2,55.23543834284028,54.44250488,11.099921849423806,21.79509544,104.2595444
28-08-2,58.61811795130903,57.951614379999995,12.507044288109798,13.51083279,111.5464401
28-09-2,30.223546541375,30.816534994999998,4.759587333886595,13.51083279,54.05064774
28-10-2,32.870611760375,32.253772735,5.467114416347182,21.29799271,60.51910782
29-01-2,37.006206763506945,37.701253890000004,5.6017963782563145,19.30908203,50.47135162
29-02-2,30.265723668874998,29.981033325,4.012172730119907,16.63692474,41.8848877
29-03-2,33.3892605603368,33.085517885,5.96491430072588,15.49038029,56.38998413
29-04-2,42.187917295333335,42.635980605,8.162105709190428,17.1777935,63.72159958
29-05-2,36.87992201638542,36.922657015,6.087609988817501,19.91131401,55.71931458
29-06-2,49.675107805,50.265439990000004,9.564487266729097,19.9159584,85.68523407
29-07-2,53.933371869434026,53.730958935000004,10.717164268350048,13.51083279,111.9126587
29-08-2,55.57656755113889,55.154930115,14.473280532582466,16.81436348,144.4888763
29-09-2,32.32795883582292,32.880807875,4.909929823022005,13.5113554,51.10839081
29-10-2,39.42162325057639,41.77950859,7.837546856225943,18.67750549,58.26578522
30-01-2,36.396118622378474,37.259082795,5.117007786655537,19.83086014,50.75574493
30-03-2,34.47788904145833,34.567035675,6.24409677804923,13.51083279,55.17226791
30-04-2,37.95308927764583,36.971933365,7.7523009273101815,13.51083279,82.01049805
30-05-2,33.11208314205208,33.166275025,5.708176543278692,15.9166708,50.78673172
30-06-2,35.56611373293055,34.169597625,8.15868605561969,16.31515503,66.35183716
30-07-2,60.43538207273611,57.6299839,15.607001333214399,23.10647774,159.8507385
30-08-2,60.16511668109375,59.98682594,11.90864768036264,20.04509163,110.2118378
30-09-2,36.090316365875,35.840991975,7.155769733303167,16.05638504,74.78075409
30-10-2,36.97862196761458,39.098234175,7.324064951619068,17.87922668,53.73574066
31-01-2,36.561388239618054,37.497364045,5.258712245960106,19.71480751,49.44858932
31-03-2,35.25531301960764,35.93527031,7.341661968806805,13.51083279,65.41723633
31-05-2,37.356677574555555,35.63085365,9.007807499339883,14.06598759,94.35920715
31-07-2,60.51592900558334,59.75351524,13.04061581292911,20.8431797,104.4313812
31-08-2,52.49191013536112,52.413684845,10.5907677195042,15.07534409,108.024971
31-10-2,32.36062894297223,31.936017035,6.681887880641005,15.0354681,50.25561905
